Team Name
00- Admin
01- PONS
02- The Crew
03- Pink Panthers
04- ML Pro
05- EpinkCC
06- partdeflan&paninilegume
07- GGEK
08- SNS_ai
09- AURAI
10- M2 MIASHS
11- Code4Cure
12- Cartigen
13- EPFL
14- OIIA OIIA
15- ArchimedesAI
16- Ovarian Cancer Destroyer
17- CGMH-MeDA
18- The Otter
19- 200CC
20- SIRIC-CURAMUS AI-HUB
21- Artemis
22- L'Elite
23- CERIS
24- SynDiag-Medics
25- DeepMedCol
26- Ovadrive
27- Paneristi
28- ATI_Lab
29- Ovulm
30- Fade
31- Gekko
32- Model Masters
33- Les Quatre Mousquetaires
34- OvaMap
35- COVA-IA
36- PasDePontsPasDeChocolat
37- International
38- DataCureAi
39- Data4hope
41 - OvaTech
42 - The Pink Challengers
42- The Pink Challengers
43- Epita4Cancer
